d_codigo,d_asenta,d_tipo_asenta,d_mnpio,d_estado,d_ciudad,d_zona
44009,Palacio de Gobierno Del Estado de Jalisco,Gran usuario,Guadalajara,Jalisco,Guadalajara,Urbano
44100,Guadalajara Centro,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44110,Vallarta Poniente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Urbano
44130,Arcos Vallarta,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44130,Arcos,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Urbano
44140,Obrera Centro,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44150,Barrera,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44150,Lafayette,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44158,Deitz,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44160,Americana,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44170,San Antonio,Barrio,Guadalajara,Jalisco,Guadalajara,Urbano
44180,Mexicaltzingo,Barrio,Guadalajara,Jalisco,Guadalajara,Urbano
44190,Moderna,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44200,El Santuario,Barrio,Guadalajara,Jalisco,Guadalajara,Urbano
44200,Sagrada Familia,Barrio,Guadalajara,Jalisco,Guadalajara,Urbano
44200,Capilla de Jesús,Barrio,Guadalajara,Jalisco,Guadalajara,Urbano
44200,Artesanos,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44210,Jardines del Country,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Urbano
44210,Jardines del Country 2a. Sección,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Urbano
44214,Universidad,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Urbano
44215,Parían,Condominio,Guadalajara,Jalisco,Guadalajara,Urbano
44216,Del Trabajo CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Urbano
44216,Fidel Velázquez,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Urbano
44217,Residencial Vallarta Country,Conjunto habitacional,Guadalajara,Jalisco,Guadalajara,Urbano
44218,Fabrica de Atemajac,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Urbano
44219,Casa Hogar CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Urbano
44220,Circunvalación Metro Carballo,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
44220,Santa Mónica,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Urbano
44220,Guadalupana Norte,Colonia,Guadalajara,Jalisco,Guadalajara,Urbano
