d_codigo,d_asenta,d_tipo_asenta,d_mnpio,d_estado,d_ciudad,d_zona
98920,La Plazuela,Barrio,Pinos,Zacatecas,,Rural
98920,Santa Cecilia,Colonia,Pinos,Zacatecas,,Urbano
98920,Bachilleres,Colonia,Pinos,Zacatecas,,Urbano
98920,Sierra de Pinos,Colonia,Pinos,Zacatecas,,Urbano
98921,La Victoria,Pueblo,Pinos,Zacatecas,,Rural
98925,Las Mezclitas (La Mezclita),Ranchería,Pinos,Zacatecas,,Rural
98930,Espiritu Santo,Pueblo,Pinos,Zacatecas,,Rural
98931,Santa Gertrudis,Congregación,Pinos,Zacatecas,,Rural
98933,La Encarnación,Ranchería,Pinos,Zacatecas,,Rural
98933,Las Cabras,Ranchería,Pinos,Zacatecas,,Rural
98936,Guadalupe Victoria (Tierra Bofa),Ranchería,Pinos,Zacatecas,,Rural
98940,Saldaña,Congregación,Pinos,Zacatecas,,Rural
98940,Santa Ana,Ranchería,Pinos,Zacatecas,,Rural
98940,Santiago,Ranchería,Pinos,Zacatecas,,Rural
98941,Trinidad Norte,Ranchería,Pinos,Zacatecas,,Rural
98942,La Pendencia,Congregación,Pinos,Zacatecas,,Rural
98942,Tolosa,Estación,Pinos,Zacatecas,,Rural
98950,El Nigromante,Congregación,Pinos,Zacatecas,,Rural
98951,El Obraje,Congregación,Pinos,Zacatecas,,Rural
98951,Laborcilla,Congregación,Pinos,Zacatecas,,Rural
98955,Jaltomate,Ranchería,Pinos,Zacatecas,,Rural
98959,Estancia de Guadalupe,Congregación,Pinos,Zacatecas,,Rural
98959,El Pedregoso,Congregación,Pinos,Zacatecas,,Rural
98959,La Lobena,Ranchería,Pinos,Zacatecas,,Rural
98959,San Manuel,Congregación,Pinos,Zacatecas,,Rural
98960,El Mezquite,Ranchería,Pinos,Zacatecas,,Rural
98960,La Estrella,Congregación,Pinos,Zacatecas,,Rural
98960,Jose Maria Pino Suárez,Ranchería,Pinos,Zacatecas,,Rural
98961,Santa Elena,Ranchería,Pinos,Zacatecas,,Rural
98965,La Cruz,Ranchería,Pinos,Zacatecas,,Rural
98969,San Martin,Congregación,Pinos,Zacatecas,,Rural
98969,Cieneguilla,Ranchería,Pinos,Zacatecas,,Rural
98970,El Sitio,Congregación,Pinos,Zacatecas,,Rural
98971,Jaula de Abajo,Congregación,Pinos,Zacatecas,,Rural
98971,Agua Grande de los Patos,Congregación,Pinos,Zacatecas,,Rural
98971,Jaulillas,Pueblo,Pinos,Zacatecas,,Rural
98971,Jaula de Arriba,Pueblo,Pinos,Zacatecas,,Rural
98974,Los Encinitos,Colonia,Pinos,Zacatecas,,Rural
98979,Ojo de Agua de La Palma,Congregación,Pinos,Zacatecas,,Rural
98980,La Ballena,Ranchería,Villa Hidalgo,Zacatecas,,Rural
98980,San Agustin,Ranchería,Villa Hidalgo,Zacatecas,,Rural
98986,Refugio,Ranchería,Villa Hidalgo,Zacatecas,,Rural
98988,Purísima Del Rocio O El Rocio,Ranchería,Villa Hidalgo,Zacatecas,,Rural
98990,Villa Hidalgo Centro,Colonia,Villa Hidalgo,Zacatecas,Villa Hidalgo,Urbano
98994,Francisco E. García,Colonia,Villa Hidalgo,Zacatecas,Villa Hidalgo,Urbano
98995,Nueva,Colonia,Villa Hidalgo,Zacatecas,Villa Hidalgo,Urbano
99000,Fresnillo Centro,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99010,Solidaridad,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99010,Napoleón Gómez Sada,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99010,Emiliano Zapata,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99010,Lomas del Mineral,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99011,Lomas de Plateros,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99013,Sector Popular,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99013,Plutarco Elias Calles,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Francisco I Madero,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Plan de Ayala,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Petroleos Mexicanos,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Nueva Esperanza,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Azteca,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Patria y Libertad,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Ampliación Azteca,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99014,Lázaro Cárdenas,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99020,Benito Juárez,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99020,Magisterial,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99020,Francisco Goytia INFONAVIT,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99020,Tecnológica,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99020,El Fresno,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99030,Industrial,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99030,San Miguel,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99030,El Parque,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99030,Las Américas,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99030,Buenos Aires,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99033,Ejidal 3,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99034,Lienzo Charro,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99034,Miguel Hidalgo,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99034,La Joya,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99036,Luis Donaldo Colosio,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99039,Lindavista,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99039,Universidad,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99040,Lasalle,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99040,Jose Maria Vázquez,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99040,Del Policía,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99040,Periodistas,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99049,18 de Julio Indeco,Unidad habitacional,Fresnillo,Zacatecas,Fresnillo,Urbano
99050,Jesús Gonzalez Ortega,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99050,Del Fresno,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99050,Las Flores,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99050,Obrera Norte,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99054,Huertas de Abajo,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99054,Francisco Villa,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99054,Ecología,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99054,Las Haciendas,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99055,Del Sol,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99056,Felipe Angeles,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99056,Villas de Plateros,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99056,Los Balcones,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99056,Parque Industrial Fresnillo,Zona industrial,Fresnillo,Zacatecas,Fresnillo,Urbano
99056,Real de Fresnillo,Fraccionamiento,Fresnillo,Zacatecas,Fresnillo,Urbano
99056,Arboledas,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99060,Lagunilla,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99070,Barrio Alto,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99070,El Olivar Manuel M. Ponce,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99080,Esparza,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
99080,Lomas de La Fortuna,Colonia,Fresnillo,Zacatecas,Fresnillo,Urbano
